Customer_id,corp,cohort,cohort_text,ethnic,language,groupcode,cust_res,enhanced_est_income,i1_combined_age,i1_gendercode,dwelling_type,length_of_residence,number_of_children,occupation_group1,education_individual1,product_id,zipcode,ethnic1,lnguage,lnth_res
110,7858,J51,J51,19,1,E,10,A,E52,F,S,7,0,I8,52,18,11554,ITALIAN,ENGLISH,6-10 Years
111,7868,J53,J53,1,1,K,3,J,E44,F,S,18,3,I5,13,18,11790,ENGLISH,ENGLISH,16-20 Years
112,7802,O68,O68,9Z,1,I,1,J,E57,M,S,19,0,K3,12,3,7652,SYRIAN,ENGLISH,16-20 Years
113,7868,H42,H42,1,1,K,1,D,~,M,S,36,0,U0,0,18,11784,ENGLISH,ENGLISH,36+ Years
114,7868,N65,N65,15,1,K,3,H,E59,F,S,23,0,I3,14,18,11755,IRISH,ENGLISH,20-25 Years
115,7882,K56,K56,10,1,K,10,G,I51,M,S,2,0,I4,53,18,10566,GERMAN,ENGLISH,1-5 Years
116,7858,K58,K58,19,1,E,2,J,E57,M,S,27,0,I2,55,18,11793,ITALIAN,ENGLISH,26-30 Years
117,7801,P70,P70,1,1,K,1,H,E72,M,S,48,1,K1,53,18,11743,ENGLISH,ENGLISH,36+ Years
118,7839,L62,L62,~,~,~,~,K,~,M,~,11,0,I1,53,18,11976,UNKNOWN,UNKNOWN,11-15 Years
119,7801,J54,J54,10,1,K,2,L,E54,F,S,25,0,I8,53,18,11746,GERMAN,ENGLISH,20-25 Years
120,7803,K58,K58,15,1,K,3,G,E64,F,A,3,0,I5,52,18,10708,IRISH,ENGLISH,1-5 Years
121,7816,J52,J52,~,~,~,5,J,E35,M,S,17,0,I1,54,18,11937,UNKNOWN,UNKNOWN,16-20 Years
122,7836,G38,G38,QQ,1,L,1,D,~,F,~,9,0,I8,51,18,11204,Yugoslavia (name changed to,ENGLISH,6-10 Years
123,7801,F30,F30,19,1,E,1,I,E77,F,S,44,0,I9,51,18,11704,ITALIAN,ENGLISH,36+ Years
124,7836,H42,H42,19,1,E,1,E,E41,M,S,21,0,I4,52,3,11234,ITALIAN,ENGLISH,20-25 Years
125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,7848,J54,J54,30,1,L,2,D,E80,M,A,15,0,I9,14,5,11021C,RUSSIAN,ENGLISH,11-15 Years
127,7840,K58,K58,1,1,K,1,G,I57,F,S,35,0,I3,51,3,11706,ENGLISH,ENGLISH,31-35 Years
128,7808,O68,O68,10,1,K,11,L,E58,M,S,11,0,K1,53,18,6903,GERMAN,ENGLISH,11-15 Years
129,7858,K58,K58,2,1,K,2,F,E62,M,S,27,0,K3,11,18,11581,SCOTTISH,ENGLISH,26-30 Years
130,7840,H41,H41,8,1,K,1,A,E83,F,A,23,0,K9,55,5,11961,DUTCH,ENGLISH,20-25 Years
131,7840,L61,L61,19,1,E,1,F,E67,M,S,43,0,K1,14,18,11741,ITALIAN,ENGLISH,36+ Years
132,7840,L63,L63,1,1,K,1,H,E68,M,S,42,1,I9,54,18,11782,ENGLISH,ENGLISH,36+ Years
133,7801,O69,O69,19,1,E,2,L,E58,M,S,18,0,I1,54,3,11579,ITALIAN,ENGLISH,16-20 Years
134,7873,L63,L63,1,1,K,2,F,E62,F,S,34,1,K5,11,18,10954A,ENGLISH,ENGLISH,31-35 Years
135,7868,D20,D20,5,1,G,4,D,E67,F,S,44,0,I9,51,18,11951,NORWEGIAN,ENGLISH,36+ Years
136,7836,B08,B08,85,1,A,9,C,~,F,~,7,0,I8,51,18,11233,AFRICAN AMERICAN,ENGLISH,6-10 Years
137,7801,H41,H41,15,1,K,6,F,E72,F,M,10,1,K3,13,18,11501,IRISH,ENGLISH,6-10 Years
138,7801,K58,K58,19,1,E,1,G,E56,F,S,30,0,K6,51,3,11731,ITALIAN,ENGLISH,26-30 Years
139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,7806,C17,C17,20,1,O,4,G,E35,F,S,6,0,I4,52,18,6610,HISPANIC,ENGLISH,6-10 Years
142,7868,I47,I47,10,1,K,1,G,E62,M,S,24,0,K6,11,18,11949,GERMAN,ENGLISH,20-25 Years
143,7837,B12,B12,20,20,O,3,A,E26,F,A,5,0,I8,55,18,10467,HISPANIC,SPANISH,1-5 Years
144,7868,P70,P70,19,1,E,4,J,E68,M,S,3,0,K3,14,18,11790,ITALIAN,ENGLISH,1-5 Years
145,7840,J49,J49,10,1,K,2,F,E42,F,S,9,3,K5,11,18,11953,GERMAN,ENGLISH,6-10 Years
146,7875,H42,H42,22,1,L,1,E,E65,F,S,38,0,K1,12,18,7747,POLISH,ENGLISH,36+ Years
147,7875,J53,J53,10,1,K,1,J,~,F,S,21,1,U0,0,18,8902,GERMAN,ENGLISH,20-25 Years
148,7804,G38,G38,20,20,O,4,A,I57,M,M,9,0,I6,55,18,7002,HISPANIC,SPANISH,6-10 Years
149,7801,N65,N65,66,1,J,7,G,E48,M,S,9,0,K8,11,18,11768,JEWISH,ENGLISH,6-10 Years
150,7836,F31,F31,20,20,O,1,B,E56,F,A,9,0,I1,11,18,11221,HISPANIC,SPANISH,6-10 Years
151,7801,K55,K55,S3,1,A,3,D,E63,M,A,22,0,I8,55,18,11704,AFRICAN AMERICAN,ENGLISH,20-25 Years
152,7840,N66,N66,19,1,E,2,H,E49,F,S,14,2,K3,14,18,11780,ITALIAN,ENGLISH,11-15 Years
153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,7840,L60,L60,15,1,K,4,E,~,F,~,20,0,I5,51,3,11772,IRISH,ENGLISH,16-20 Years
155,7858,K55,K55,E5,1,A,2,F,E57,M,S,18,0,I1,54,5,11580,AFRICAN AMERICAN,ENGLISH,16-20 Years
156,7868,K58,K58,66,1,J,3,J,E54,M,S,14,1,K3,14,18,11720,JEWISH,ENGLISH,11-15 Years
157,7840,K59,K59,22,1,L,3,I,E59,F,S,21,0,K3,13,18,11782,POLISH,ENGLISH,20-25 Years
158,7840,N65,N65,15,1,K,3,K,E44,M,A,11,1,I6,51,18,11754,IRISH,ENGLISH,11-15 Years
159,7868,K55,K55,6,1,L,1,G,E54,F,S,21,0,K3,53,18,11950,FINNISH,ENGLISH,20-25 Years
160,7801,P70,P70,10,1,K,1,E,E72,M,S,38,0,I9,14,18,11791,GERMAN,ENGLISH,36+ Years
161,7870,G38,G38,10,1,K,5,D,I54,M,A,1,0,I6,51,18,7407,GERMAN,ENGLISH,1-5 Years
162,7840,N66,N66,1,1,K,6,J,E37,M,S,12,0,K1,52,18,11764,ENGLISH,ENGLISH,11-15 Years
163,7848,L63,L63,19,1,E,1,E,E77,M,A,1,2,K1,14,18,11050H,ITALIAN,ENGLISH,1-5 Years
164,7839,~,UNKNOWN,~,~,~,2,~,~,~,~,~,~,~,~,18,11933,UNKNOWN,UNKNOWN,Missing
165,7864,N66,N66,1,1,K,5,H,E49,M,S,8,6,I1,51,18,7751,ENGLISH,ENGLISH,6-10 Years
166,7840,N65,N65,19,~,E,3,L,E50,M,S,12,2,I6,54,18,11754,ITALIAN,UNKNOWN,11-15 Years
167,7872,G35,G35,20,~,O,11,B,E39,F,A,3,0,I3,52,18,7514,HISPANIC,UNKNOWN,1-5 Years
168,7868,J49,J49,20,~,O,2,G,E50,M,S,21,2,I6,12,18,11772,HISPANIC,UNKNOWN,20-25 Years
169,7868,J51,J51,20,1,O,3,G,E53,F,S,7,0,I6,52,18,11776,HISPANIC,ENGLISH,6-10 Years
170,7840,I47,I47,19,1,E,4,I,E31,M,S,2,0,I3,54,18,11764,ITALIAN,ENGLISH,1-5 Years
171,7836,C17,C17,22,1,L,1,E,E40,F,A,6,0,I2,53,18,11237,POLISH,ENGLISH,6-10 Years
172,7868,K58,K58,19,1,E,6,A,E56,M,S,12,0,I1,55,18,11738,ITALIAN,ENGLISH,11-15 Years
173,7806,J50,J50,1,1,K,2,B,E52,M,S,20,0,I6,51,5,6460,ENGLISH,ENGLISH,16-20 Years
174,7876,L63,L63,17,1,K,1,F,E66,M,S,23,2,K4,13,3,7936,FRENCH,ENGLISH,20-25 Years
175,7870,F32,F32,9N,1,B,4,F,E43,F,S,0,1,I5,13,18,7013,FILIPINO,ENGLISH,0 Years
176,7858,J51,J51,19,1,E,1,G,E82,F,S,25,1,I9,51,18,11010,ITALIAN,ENGLISH,20-25 Years
177,7801,J51,J51,17,1,K,3,D,E72,F,S,29,0,I9,51,18,11590,FRENCH,ENGLISH,26-30 Years
178,7870,H42,H42,20,1,O,1,E,E69,F,S,19,0,K3,13,18,7666,HISPANIC,ENGLISH,16-20 Years
179,7801,L62,L62,19,1,E,3,K,E63,F,S,19,0,K3,13,18,11040,ITALIAN,ENGLISH,16-20 Years
180,7801,K58,K58,1,1,K,1,G,E56,F,S,23,0,K6,11,18,11746,ENGLISH,ENGLISH,20-25 Years
181,7858,L60,L60,I2,1,A,4,F,E44,F,S,9,1,I4,52,18,11510,AFRICAN AMERICAN,ENGLISH,6-10 Years
182,7840,F31,F31,1,1,K,8,B,~,M,~,9,0,I8,52,18,11787,ENGLISH,ENGLISH,6-10 Years
183,7870,N66,N66,19,1,E,3,K,E50,M,S,16,1,K2,13,18,7444,ITALIAN,ENGLISH,16-20 Years
184,7858,L63,L63,15,1,K,3,L,E65,M,A,22,0,K1,13,18,11565,IRISH,ENGLISH,20-25 Years
185,7858,K59,K59,66,1,J,2,H,E56,M,S,21,1,K3,54,18,11566,JEWISH,ENGLISH,20-25 Years
186,7840,J52,J52,19,1,E,2,E,E41,M,S,2,1,I6,52,18,11727,ITALIAN,ENGLISH,1-5 Years
187,7858,J52,J52,1,1,K,5,J,E42,M,A,22,0,I1,51,18,11561,ENGLISH,ENGLISH,20-25 Years
188,7806,A03,A03,~,~,~,~,D,E55,F,A,21,0,I5,51,18,6605,UNKNOWN,UNKNOWN,20-25 Years
189,7840,K59,K59,20,1,O,4,G,E44,M,A,4,1,I1,53,18,11961,HISPANIC,ENGLISH,1-5 Years
190,7839,H41,H41,20,20,O,4,E,~,U,~,10,0,I8,53,18,11944,HISPANIC,SPANISH,6-10 Years
191,7868,J53,J53,66,1,J,4,G,E53,F,S,15,1,K1,54,18,11940,JEWISH,ENGLISH,11-15 Years
192,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,7839,J54,J54,22,1,L,2,E,E74,F,M,25,0,K3,51,5,11952,POLISH,ENGLISH,20-25 Years
194,7803,O68,O68,~,~,K,1,~,~,~,~,~,~,~,~,18,10708,UNKNOWN,UNKNOWN,Missing
